Statistical profiling result from isolate-0x6371090-74757-v8.log, (7215 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4  100.0%            Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/index.js:1:1
      4    7.3%      LazyCompile: ~onParseError node:internal/url:551:22
      4  100.0%        /home/raul/.nvm/versions/node/v17.3.0/bin/node
      4  100.0%          LazyCompile: ~URL node:internal/url:624:14
      4  100.0%            LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:898:23
      3    5.5%      Function: ~<anonymous> node:internal/fs/rimraf:1:1
      3  100.0%        LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3  100.0%          LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      3  100.0%            Function: ~<anonymous> node:internal/fs/promises:1:1
      3    5.5%      /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1   33.3%        Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/index.js:1:1
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1   33.3%        LazyCompile: ~translatePeerCertificate node:_tls_common:124:34
      1  100.0%          LazyCompile: ~translatePeerCertificate node:_tls_common:124:34
      1  100.0%            LazyCompile: ~TLSSocket.getPeerCertificate node:_tls_wrap:984:50
      1   33.3%        LazyCompile: ~match /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:110:39
      1  100.0%          LazyCompile: ~matchLayer /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:572:20
      1  100.0%            LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:176:16
      2    3.6%      LazyCompile: ~realpathSync node:fs:2410:22
      2  100.0%        LazyCompile: ~toRealPath node:internal/modules/cjs/loader:393:20
      2  100.0%          LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%            LazyCompile: ~resolveMainPath node:internal/modules/run_main:12:25
      2    3.6%      LazyCompile: ~createHash node:crypto:129:20
      2  100.0%        LazyCompile: ~passwordDigest /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:182:24
      2  100.0%          LazyCompile: ~continueScramConversation /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:93:35
      2  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:85:80
      2    3.6%      LazyCompile: ~compileFunction node:vm:308:25
      2  100.0%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1011:18
      2  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1051:37
      2  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1    1.8%      Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/index.js:1:1
      1  100.0%        /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            LazyCompile: ~run node:internal/modules/esm/module_job:190:12
      1    1.8%      LazyCompile: ~validateBoolean node:internal/validators:139:25
      1  100.0%        Function: ^compileFunction node:vm:308:25
      1  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1051:37
      1    1.8%      LazyCompile: ~toRealPath node:internal/modules/cjs/loader:393:20
      1  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:12:25
      1  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:74:31
      1    1.8%      LazyCompile: ~setupWarningHandler node:internal/bootstrap/pre_execution:132:29
      1  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.8%      LazyCompile: ~setUnrefTimeout node:internal/timers:379:25
      1  100.0%        LazyCompile: ~setStreamTimeout node:internal/stream_base_commons:237:26
      1  100.0%          LazyCompile: ~makeConnection /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:227:24
      1  100.0%            LazyCompile: ~connect /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:15:17
      1    1.8%      LazyCompile: ~setStreamTimeout node:internal/stream_base_commons:237:26
      1  100.0%        LazyCompile: ~makeConnection /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:227:24
      1  100.0%          LazyCompile: ~connect /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:15:17
      1  100.0%            LazyCompile: ~checkServer /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/monitor.js:138:21
      1    1.8%      LazyCompile: ~setPosition node:internal/timers:418:21
      1  100.0%        LazyCompile: ~percolateUp node:internal/priority_queue:73:14
      1  100.0%          LazyCompile: ~insert node:internal/priority_queue:34:9
      1  100.0%            Function: ^insert node:internal/timers:357:16
      1    1.8%      LazyCompile: ~selectServer /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:281:17
      1  100.0%        LazyCompile: ~connect /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:182:12
      1  100.0%          LazyCompile: ~createTopology /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:53:24
      1  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:41:67
      1    1.8%      LazyCompile: ~scanLine /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/ejs/lib/ejs.js:803:22
      1  100.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/ejs/lib/ejs.js:730:32
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            LazyCompile: ~generateSource /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/ejs/lib/ejs.js:709:28
      1    1.8%      LazyCompile: ~resolve node:path:1091:10
      1  100.0%        LazyCompile: ~patchProcessObject node:internal/bootstrap/pre_execution:81:28
      1  100.0%          LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.8%      LazyCompile: ~push node:internal/fixed_queue:75:7
      1  100.0%        LazyCompile: ~push node:internal/fixed_queue:99:7
      1  100.0%          LazyCompile: ~nextTick node:internal/process/task_queues:104:18
      1  100.0%            LazyCompile: ~onConstruct node:internal/streams/destroy:260:23
      1    1.8%      LazyCompile: ~processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.8%      LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%        Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.8%      LazyCompile: ~patchProcessObject node:internal/bootstrap/pre_execution:81:28
      1  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.8%      LazyCompile: ~overRest /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/lodash/_overRest.js:15:18
      1  100.0%        LazyCompile: ~baseRest /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/lodash/_baseRest.js:13:18
      1  100.0%          Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/lodash/defer.js:1:1
      1  100.0%            LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      1    1.8%      LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:176:16
      1  100.0%        LazyCompile: ~handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:136:31
      1  100.0%          LazyCompile: ~handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/application.js:158:29
      1  100.0%            LazyCompile: ~app /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/express.js:38:21
      1    1.8%      LazyCompile: ~lazyrouter /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/application.js:137:37
      1  100.0%        LazyCompile: ~use /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/application.js:187:23
      1  100.0%          Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/server.js:1:1
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    1.8%      LazyCompile: ~emitBeforeScript node:internal/async_hooks:501:26
      1  100.0%        LazyCompile: ~processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.8%      LazyCompile: ~deserialize /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%        LazyCompile: ~deserialize /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/bson.js:162:21
      1  100.0%          LazyCompile: ~parse /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/commands.js:384:10
      1  100.0%            LazyCompile: ~messageHandler /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:421:35
      1    1.8%      LazyCompile: ~afterWrite node:internal/streams/writable:488:20
      1  100.0%        LazyCompile: ~onwrite node:internal/streams/writable:426:17
      1  100.0%          LazyCompile: ~onWriteComplete node:internal/stream_base_commons:80:25
      1    1.8%      LazyCompile: ~afterConnect node:net:1119:22
      1    1.8%      LazyCompile: ~_instantiate node:internal/modules/esm/module_job:108:21
      1  100.0%        LazyCompile: ~instantiate node:internal/modules/esm/module_job:101:14
      1  100.0%          LazyCompile: ~run node:internal/modules/esm/module_job:190:12
      1  100.0%            LazyCompile: ~<anonymous> node:internal/modules/esm/loader:333:15
      1    1.8%      LazyCompile: ~ServerSession /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sessions.js:524:16
      1  100.0%        LazyCompile: ~acquire /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sessions.js:577:12
      1  100.0%          LazyCompile: ~get serverSession /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sessions.js:93:22
      1  100.0%            LazyCompile: ~applySession /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sessions.js:643:22
      1    1.8%      LazyCompile: ~Server /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/server.js:28:16
      1  100.0%        LazyCompile: ~createAndConnectServer /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:546:32
      1  100.0%          LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:572:52
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    1.8%      LazyCompile: ~Schema.path /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/schema.js:646:33
      1  100.0%        LazyCompile: ~add /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/schema.js:480:36
      1  100.0%          LazyCompile: ~Schema /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/schema.js:90:16
      1  100.0%            LazyCompile: ~Mongoose.model /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/index.js:461:36
      1    1.8%      LazyCompile: ~MongoClient /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:776:31
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            LazyCompile: ~Connection.openUri /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:670:40
      1    1.8%      LazyCompile: ~Long.eq /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/long.js:435:34
      1  100.0%        LazyCompile: ~Long.negate /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/long.js:612:38
      1  100.0%          LazyCompile: ~Long.neg /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/long.js:618:35
      1  100.0%            LazyCompile: ~Long.fromNumber /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/long.js:130:32
      1    1.8%      LazyCompile: ~File /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/lib/winston/transports/file.js:33:14
      1  100.0%        Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/utils/logger.js:1:1
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    1.8%      LazyCompile: ~ClientSession /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sessions.js:54:16
      1  100.0%        LazyCompile: ~startSession /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:349:17
      1  100.0%          LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/operations/execute_operation.js:16:48
      1  100.0%            LazyCompile: ~maybePromise /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/utils.js:482:22
      1    1.8%      LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:25:32
      1  100.0%        LazyCompile: ~<anonymous> node:internal/crypto/random:104:43
      1  100.0%          LazyCompile: ~onJobDone node:internal/crypto/random:299:19
      1    1.8%      LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/model.js:1274:23
      1  100.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/model.js:4931:15
      1  100.0%          Function: ^processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.8%      Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.8%      Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/npmlog/lib/log.js:1:1
      1  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
      1    1.8%      Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/lodash/assignInWith.js:1:1
      1  100.0%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    1.8%      Function: ^normalizeEncoding node:internal/util:160:27
      1  100.0%        LazyCompile: ~validateEncoding node:internal/validators:199:26
      1  100.0%          LazyCompile: ~update node:internal/crypto/hash:95:40
      1  100.0%            LazyCompile: ~HMAC /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:214:14
     43   39.8%    LazyCompile: *compileFunction node:vm:308:25
     22   51.2%      LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
     22  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     22  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     21   95.5%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1    4.5%            Function: ^<anonymous> node:internal/modules/esm/translators:159:67
     21   48.8%      Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
     21  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
     21  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     21  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33

